acronym,name,score
MMM,3M,165.58
AXP,American Express,132.45
AAPL,Apple,317.69
BA,Boeing,316.56
CAT,Caterpillar,136.74
CVX,Chevron,111.12
CSCO,Cisco,47.77
KO,Coca-Cola,57.01
DIS,Disney,138.37
DOW,Dow Chemical,47.16
XOM,Exxon Mobil,64.65
GS,Goldman Sachs,242.58
HD,Home Depot,233.86
IBM,IBM,139.55
INTC,Intel,67.31
JNJ,Johnson & Johnson,149.50
JPM,JPMorgan Chase,134.43
MCD,McDonald's,210.39
MRK,Merck,86.25
MSFT,Microsoft,165.46
NKE,Nike,100.41
PFE,Pfizer,38.14
PG,Procter & Gamble,126.03
TRV,Travelers Companies Inc,134.39
UTX,United Technologies,152.86
UNH,UnitedHealth,285.87
VZ,Verizon,60.70
V,Visa,202.85
WMT,Wal-Mart,116.60
WBA,Walgreen,52.78
